Station,Date,Taxon,Groupe_taxons,MESURE_Numero_individu,REPLICAT_Longueur_transect,STATION_Identifiant,OBSERVATION_Coordonnees_MINX,OBSERVATION_Coordonnees_MINY,OBSERVATION_Coordonnees_MAXX,OBSERVATION_Coordonnees_MAXY,REPLICAT_Substrat_Protocole_LIT,Flag,Year
L'Ermitage_GH09,2010-01-21,,Millépores,4,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2010
L'Ermitage_GH09,2010-01-21,,,5,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2010
L'Ermitage_GH09,2010-01-21,,Acropore digité,6,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2010
L'Ermitage_GH09,2010-01-21,,,7,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2010
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,8,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2010
L'Ermitage_GH09,2010-01-21,,Autres,9,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2010
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,10,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2010
L'Ermitage_GH09,2010-01-21,,,11,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2010
L'Ermitage_GH09,2010-01-21,,Acropore branchu,12,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2010
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,13,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2010
L'Ermitage_GH09,2010-01-21,,Acropore branchu,14,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2010
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,15,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2010
L'Ermitage_GH09,2010-01-21,,Acropore branchu,16,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2010
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,17,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2010
L'Ermitage_GH09,2010-01-21,,,18,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2010
L'Ermitage_GH09,2010-01-21,,Acropore digité,19,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2010
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,1,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,2,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,3,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,4,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,5,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,6,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,7,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,8,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,9,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,10,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,,11,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,12,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,13,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,14,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,15,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,16,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,17,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,18,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,,19,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,20,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,21,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,22,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,23,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,24,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,25,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,26,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,27,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,28,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,29,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,,30,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2011
L'Ermitage_GH09,2011-01-25,,,31,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2011
L'Ermitage_GH09,2011-01-25,,,32,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2011
L'Ermitage_GH09,2011-01-25,,,33,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2011
L'Ermitage_GH09,2011-01-25,,,34,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2011
L'Ermitage_GH09,2011-01-25,,,35,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,36,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Algues gazonnantes,37,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2011
L'Ermitage_GH09,2011-01-25,,Non-Acropore submassif,38,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,39,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,,40,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2011
L'Ermitage_GH09,2011-01-25,,Acropore branchu,41,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2011
L'Ermitage_GH09,2011-01-25,,,42,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2011
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,1,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Corail Mou - Soft Coral,2,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,3,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore digité,4,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,5,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore branchu,6,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,7,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore digité,8,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,,9,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore branchu,10,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,,11,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2012
L'Ermitage_GH09,2012-01-18,,Millépores,12,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,13,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore branchu,14,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,15,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore branchu,16,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,17,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore branchu,18,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,19,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Acropore digité,20,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,21,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Millépores,22,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2012-01-18,,Algues gazonnantes,23,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2012
L'Ermitage_GH09,2013-01-22,,Non-Acropore encroutant,1,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore branchu,2,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Algues gazonnantes,3,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2013
L'Ermitage_GH09,2013-01-22,,Algues gazonnantes,4,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore branchu,5,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Algues gazonnantes,6,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2013
L'Ermitage_GH09,2013-01-22,,,7,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore branchu,8,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore digité,9,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,,10,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore digité,11,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Algues gazonnantes,12,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore branchu,13,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,,14,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2013
L'Ermitage_GH09,2013-01-22,,Non-Acropore encroutant,15,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Non-Acropore submassif,16,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore branchu,17,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Algues gazonnantes,18,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2013
L'Ermitage_GH09,2013-01-22,,,19,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2013
L'Ermitage_GH09,2013-01-22,,Acropore branchu,20,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Non-Acropore submassif,21,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,Non-Acropore submassif,22,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2013
L'Ermitage_GH09,2013-01-22,,,23,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2013
L'Ermitage_GH09,2013-01-22,,Algues gazonnantes,24,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2013
L'Ermitage_GH09,2014-01-27,,Acropore branchu,1,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Algues gazonnantes,2,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,Acropore branchu,3,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Algues gazonnantes,4,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,5,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Algues gazonnantes,6,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,Acropore branchu,7,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,8,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Dalle corallienne,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,9,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Millépores,10,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,,11,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,12,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,13,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,14,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Acropore branchu,15,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Algues gazonnantes,16,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,17,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore massif,18,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,19,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore massif,20,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,21,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,22,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Algues gazonnantes,23,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,24,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,25,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2014
L'Ermitage_GH09,2014-01-27,,,26,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Millépores,27,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,,28,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Corail Mou - Soft Coral,29,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,,30,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,31,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,32,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Acropore branchu,33,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,Acropore digité,34,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,35,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Millépores,36,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2014
L'Ermitage_GH09,2014-01-27,,,37,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2014-01-27,,Non-Acropore submassif,38,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2014
L'Ermitage_GH09,2014-01-27,,,39,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2014
L'Ermitage_GH09,2015-02-10,,Non-Acropore massif,1,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2015
L'Ermitage_GH09,2015-02-10,,Algues gazonnantes,2,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2015
L'Ermitage_GH09,2015-02-10,,,3,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2015
L'Ermitage_GH09,2015-02-10,,Millépores,4,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2015
L'Ermitage_GH09,2015-02-10,,Algues gazonnantes,5,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2015
L'Ermitage_GH09,2015-02-10,,Non-Acropore encroutant,6,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2015
L'Ermitage_GH09,2015-02-10,,,7,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2015
L'Ermitage_GH09,2015-02-10,,Algues gazonnantes,8,20,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2015
L'Ermitage_GH09,2015-02-10,,Non-Acropore massif,9,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2015
